product_name,retail_price,discounted_price,product_rating,overall_rating,category
Alisha Solid Women's Cycling Shorts,,999.0,,,Clothing
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,,,Furniture
AW Bellies,999.0,499.0,,,Footwear
Alisha Solid Women's Cycling Shorts,,699.0,,,Clothing
Sicons All Purpose Arnica Dog Shampoo,220.0,210.0,,,Pet Supplies
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430.0,430.0,,,Others
Alisha Solid Women's Cycling Shorts,,1199.0,,,Clothing
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,,,Furniture
"dilli bazaaar Bellies, Corporate Casuals, Casuals",,,,,Footwear
Alisha Solid Women's Cycling Shorts,,1199.0,,,Clothing
Ladela Bellies,1724.0,950.0,,,Footwear
Carrel Printed Women's,2299.0,910.0,,,Clothing
Sicons All Purpose Tea Tree Dog Shampoo,,,,,Pet Supplies
Alisha Solid Women's Cycling Shorts,,999.0,,,Clothing
Freelance Vacuum Bottles 350 ml Bottle,699.0,699.0,,,Pens & Stationery
Alisha Solid Women's Cycling Shorts,,999.0,,,Clothing
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,,,Furniture
Style Foot Bellies,899.0,449.0,,,Footwear
Carrel Printed Women's,2499.0,999.0,,,Clothing
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,,,Furniture
Sicons Conditioning Conditoner Dog Shampoo,110.0,100.0,,,Pet Supplies
Alisha Solid Women's Cycling Shorts,,,,,Clothing
dongli Printed Boy's Round Neck T-Shirt,2400.0,1039.0,,,Clothing
SWAGGA Women Clogs,1500.0,1500.0,,,Footwear
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190.0,190.0,,,Pet Supplies
Glus Wedding Lingerie Set,,1299.0,,,Clothing
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199.0,2499.0,,,Sports & Fitness
Bulaky vanity case Jewellery Vanity Case,499.0,390.0,,,Beauty and Personal Care
FDT Women's Leggings,699.0,309.0,,,Clothing
Madcaps C38GR30 Men's Cargos,,2199.0,,,Clothing
Bengal Blooms Rose Artificial Plant  with Pot,799.0,579.0,,,Others
Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999.0,699.0,,,Clothing
Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,,,Pens & Stationery
Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,,,Pens & Stationery
"""Tiara Diaries 2016-2017 Designer LA Kaarta """"TAKING ACTION GETTING RESULT"""" (Set of 3) B5 Notebook Hard Bound""",1000.0,837.0,,,Pens & Stationery
KAJCI Embroidered Women's Waistcoat,1200.0,699.0,,,Clothing
Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,350.0,298.0,,,Pens & Stationery
Pick Pocket Embroidered Women's Waistcoat,899.0,899.0,,,Clothing
Angelfish Silk Potali Potli,,999.0,,,Bags
Oye Boy's Dungaree,899.0,764.0,,,Clothing
Nuride Canvas Shoes,1999.0,1349.0,,,Footwear
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499.0,1499.0,,,Home Decor & Festive Needs
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999.0,1899.0,,,Automotive
Rapter BNC-179 BNC Wire Connector,,2299.0,,,Tools & Hardware
Vishudh Printed Women's Straight Kurta,999.0,499.0,,,Clothing
Vishudh Printed Women's Straight Kurta,899.0,449.0,,,Clothing
Vishudh Printed Women's Anarkali Kurta,2099.0,1049.0,,,Clothing
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500.0,5000.0,,,Others
Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,4990.0,,,Others
